City;hasIBGECode
Abreu e Lima;2600054
Afogados da Ingazeira;2600104
Afrânio;2600203
Agrestina;2600302
Água Preta;2600401
Águas Belas;2600500
Alagoinha;2600609
Aliança;2600708
Altinho;2600807
Amaraji;2600906
Angelim;2601003
Araçoiaba;2601052
Araripina;2601102
Arcoverde;2601201
Barra de Guabiraba;2601300
Barreiros;2601409
Belém de Maria;2601508
Belém do São Francisco;2601607
Belo Jardim;2601706
Betânia;2601805
Bezerros;2601904
Bodocó;2602001
Bom Conselho;2602100
Bom Jardim;2602209
Bonito;2602308
Brejão;2602407
Brejinho;2602506
Brejo da Madre de Deus;2602605
Buenos Aires;2602704
Buíque;2602803
Cabo de Santo Agostinho;2602902
Cabrobó;2603009
Cachoeirinha;2603108
Caetés;2603207
Calçado;2603306
Calumbi;2603405
Camaragibe;2603454
Camocim de São Félix;2603504
Camutanga;2603603
Canhotinho;2603702
Capoeiras;2603801
Carnaíba;2603900
Carnaubeira da Penha;2603926
Carpina;2604007
Caruaru;2604106
Casinhas;2604155
Catende;2604205
Cedro;2604304
Chã de Alegria;2604403
Chã Grande;2604502
Condado;2604601
Correntes;2604700
Cortês;2604809
Cumaru;2604908
Cupira;2605004
Custódia;2605103
Dormentes;2605152
Escada;2605202
Exu;2605301
Feira Nova;2605400
Fernando de Noronha;2605459
Ferreiros;2605509
Flores;2605608
Floresta;2605707
Frei Miguelinho;2605806
Gameleira;2605905
Garanhuns;2606002
Glória do Goitá;2606101
Goiana;2606200
Granito;2606309
Gravatá;2606408
Iati;2606507
Ibimirim;2606606
Ibirajuba;2606705
Igarassu;2606804
Iguaraci;2606903
Ilha de Itamaracá;2607604
Inajá;2607000
Ingazeira;2607109
Ipojuca;2607208
Ipubi;2607307
Itacuruba;2607406
Itaíba;2607505
Itambé;2607653
Itapetim;2607703
Itapissuma;2607752
Itaquitinga;2607802
Jaboatão dos Guararapes;2607901
Jaqueira;2607950
Jataúba;2608008
Jatobá;2608057
João Alfredo;2608107
Joaquim Nabuco;2608206
Jucati;2608255
Jupi;2608305
Jurema;2608404
Lagoa do Carro;2608503
Lagoa do Itaenga;2608453
Lagoa do Ouro;2608602
Lagoa dos Gatos;2608701
Lagoa Grande;2608750
Lajedo;2608800
Limoeiro;2608909
Macaparana;2609006
Machados;2609105
Manari;2609154
Maraial;2609204
Mirandiba;2609303
Moreilândia;2614303
Moreno;2609402
Nazaré da Mata;2609501
Olinda;2609600
Orobó;2609709
Orocó;2609808
Ouricuri;2609907
Palmares;2610004
Palmeirina;2610103
Panelas;2610202
Paranatama;2610301
Parnamirim;2610400
Passira;2610509
Paudalho;2610608
Paulista;2610707
Pedra;2610806
Pesqueira;2610905
Petrolândia;2611002
Petrolina;2611101
Poção;2611200
Pombos;2611309
Primavera;2611408
Quipapá;2611507
Quixaba;2611533
Recife;2611606
Riacho das Almas;2611705
Ribeirão;2611804
Rio Formoso;2611903
Sairé;2612000
Salgadinho;2612109
Salgueiro;2612208
Saloá;2612307
Sanharó;2612406
Santa Cruz;2612455
Santa Cruz da Baixa Verde;2612471
Santa Cruz do Capibaribe;2612505
Santa Filomena;2612554
Santa Maria da Boa Vista;2612604
Santa Maria do Cambucá;2612703
Santa Terezinha;2612802
São Benedito do Sul;2612901
São Bento do Una;2613008
São Caetano;2613107
São João;2613206
São Joaquim do Monte;2613305
São José da Coroa Grande;2613404
São José do Belmonte;2613503
São José do Egito;2613602
São Lourenço da Mata;2613701
São Vicente Férrer;2613800
Serra Talhada;2613909
Serrita;2614006
Sertânia;2614105
Sirinhaém;2614204
Solidão;2614402
Surubim;2614501
Tabira;2614600
Tacaimbó;2614709
Tacaratu;2614808
Tamandaré;2614857
Taquaritinga do Norte;2615003
Terezinha;2615102
Terra Nova;2615201
Timbaúba;2615300
Toritama;2615409
Tracunhaém;2615508
Trindade;2615607
Triunfo;2615706
Tupanatinga;2615805
Tuparetama;2615904
Venturosa;2616001
Verdejante;2616100
Vertente do Lério;2616183
Vertentes;2616209
Vicência;2616308
Vitória de Santo Antão;2616407
Xexéu;2616506
