University;hasAchronic;hasCreateYear;hasRegionCountry;hasState
Universidade de Brasília;UnB;1962;Centro-oeste;Distrito Federal
Universidade Federal da Grande Dourados;UFGD;2005;Centro-oeste;Mato Grosso do Sul
Universidade Federal de Goiás;UFG;1960;Centro-oeste;Goiás
Universidade Federal de Mato Grosso;UFMT;1970;Centro-oeste;Mato Grosso
Universidade Federal de Mato Grosso do Sul;UFMS;1979;Centro-oeste;Mato Grosso do Sul
Universidade Federal de Catalão;UFCat;2018;Centro-oeste;Goiás
Universidade Federal de Jataí;UFJ;2018;Centro-oeste;Goiás
Universidade Federal de Rondonópolis;UFR;2018;Centro-oeste;Mato Grosso
Universidade Federal da Bahia;UFBA;1946;Nordeste;Bahia
Universidade Federal do Sul da Bahia;UFSB;2013;Nordeste;Bahia
Universidade Federal do Recôncavo da Bahia;UFRB;2005;Nordeste;Bahia
Universidade Federal da Lusofonia Afro-Brasileira;UNILAB;2010;Nordeste;Ceará-Bahia
Universidade Federal da Paraíba;UFPB;1955;Nordeste;Paraíba
Universidade Federal do Cariri;UFCA;2013;Nordeste;Ceará
Universidade Federal de Alagoas;UFAL;1961;Nordeste;Alagoas
Universidade Federal de Campina Grande;UFCG;2002;Nordeste;Paraíba
Universidade Federal de Pernambuco;UFPE;1946;Nordeste;Pernambuco
Universidade Federal de Sergipe;UFS;1968;Nordeste;Sergipe
Universidade Federal do Ceará;UFC;1954;Nordeste;Ceará
Universidade Federal do Maranhão;UFMA;1966;Nordeste;Maranhão
Universidade Federal do Oeste da Bahia;UFOB;2013;Nordeste;Bahia
Universidade Federal do Piauí;UFPI;1968;Nordeste;Piauí
Universidade Federal do Rio Grande do Norte;UFRN;1958;Nordeste;Rio Grande do Norte
Universidade Federal do Vale do São Francisco;UNIVASF;2002;Nordeste;Pernambuco-Bahia-Piauí
Universidade Federal Rural de Pernambuco;UFRPE;1947;Nordeste;Pernambuco
Universidade Federal Rural do Semi-Árido;UFERSA;1968;Nordeste;Rio Grande do Norte
Universidade Federal de Rondônia;UNIR;1982;Norte;Rondônia
Universidade Federal de Roraima;UFRR;1989;Norte;Roraima
Universidade Federal do Acre;UFAC;1970;Norte;Acre
Universidade Federal do Amapá;UNIFAP;1990;Norte;Amapá
Universidade Federal do Amazonas;UFAM;1913;Norte;Amazonas
Universidade Federal do Oeste do Pará;UFOPA;2009;Norte;Pará
Universidade Federal do Pará;UFPA;1957;Norte;Pará
Universidade Federal do Tocantins;UFT;2000;Norte;Tocantins
Universidade Federal Rural da Amazônia;UFRA;2002;Norte;Pará
Universidade Federal do Sul e Sudeste do Pará;UNIFESSPA;1971;Norte;Pará
Universidade Federal de Alfenas;UNIFAL-MG;1914;Sudeste;Minas Gerais
University;hasAchronic;hasCreateYear;hasRegionCountry;hasState
Universidade Federal de Itajubá;UNIFEI;2002;Sudeste;Minas Gerais
Universidade Federal de Juiz de Fora;UFJF;1960;Sudeste;Minas Gerais
Universidade Federal de Lavras;UFLA;1994;Sudeste;Minas Gerais
Universidade Federal de Minas Gerais;UFMG;1927;Sudeste;Minas Gerais
Universidade Federal de Ouro Preto;UFOP;1969;Sudeste;Minas Gerais
Universidade Federal de São Carlos;UFSCar;1968;Sudeste;São Paulo
Universidade Federal de São João del-Rei;UFSJ;1953;Sudeste;Minas Gerais
Universidade Federal de São Paulo;UNIFESP;1994;Sudeste;São Paulo
Universidade Federal de Uberlândia;UFU;1957;Sudeste;Minas Gerais
Universidade Federal de Viçosa;UFV;1969;Sudeste;Minas Gerais
Universidade Federal do ABC;UFABC;2005;Sudeste;São Paulo
Universidade Federal do Espírito Santo;UFES;1954;Sudeste;Espírito Santo
Universidade Federal do Estado do Rio de Janeiro;UNIRIO;1979;Sudeste;Rio de Janeiro
Universidade Federal do Rio de Janeiro;UFRJ;1920;Sudeste;Rio de Janeiro
Universidade Federal do Triângulo Mineiro;UFTM;1953;Sudeste;Minas Gerais
Universidade Federal dos Vales do Jequitinhonha e Mucuri;UFVJM;1953;Sudeste;Minas Gerais
Universidade Federal Fluminense;UFF;1960;Sudeste;Rio de Janeiro
Universidade Federal Rural do Rio de Janeiro;UFRRJ;1943;Sudeste;Rio de Janeiro
Universidade Tecnológica Federal do Paraná;UTFPR;1909;Sul;Paraná
Universidade Federal da Fronteira Sul;UFFS;2009;Sul;Santa Catarina-Paraná-Rio Grande do Sul
Universidade Federal da Integração Latino-Americana;UNILA;2010;Sul;Paraná
Universidade Federal de Ciências da Saúde de Porto Alegre;UFCSPA;1953;Sul;Rio Grande do Sul
Universidade Federal de Pelotas;UFPel;1969;Sul;Rio Grande do Sul
Universidade Federal de Santa Catarina;UFSC;1956;Sul;Santa Catarina
Universidade Federal de Santa Maria;UFSM;1960;Sul;Rio Grande do Sul
Universidade Federal do Pampa;UNIPAMPA;2008;Sul;Rio Grande do Sul
Universidade Federal do Paraná;UFPR;1912;Sul;Paraná
Universidade Federal do Rio Grande;FURG;1969;Sul;Rio Grande do Sul
Universidade Federal do Rio Grande do Sul;UFRGS;1934;Sul;Rio Grande do Sul
Universidade Federal do Agreste de Pernambuco;UFAPE;2018;Nordeste;Pernambuco
Universidade Federal do Delta do Parnaíba;UFDPar;2018;Nordeste;Piauí
Universidade Federal do Norte do Tocantins;UFNT;2019;Norte;Tocantins
